"Person_ID","Area"
1,4
1,21
2,50
2,46
3,5
3,31
4,27
4,53
5,3
5,42
6,25
6,25
7,18
7,7
8,12
8,18
9,55
9,25
10,53
10,57
11,36
11,44
12,34
12,33
13,1
13,6
14,54
14,27
15,25
15,8
16,55
16,28
17,41
17,32
18,51
18,8
19,39
19,22
20,14
20,33
21,27
21,14
22,38
22,48
23,50
23,45
24,43
24,21
25,43
25,43
26,4
26,42
27,1
27,20
28,5
28,58
29,5
29,50
30,4
30,57
31,44
31,20
32,15
32,35
33,2
33,9
34,44
34,50
35,55
35,17
36,1
36,49
37,56
37,26
38,57
38,17
39,1
39,36
40,49
40,21
41,45
41,54
42,43
42,8
43,10
43,24
44,58
44,50
45,4
45,2
46,2
46,39
47,26
47,51
48,31
48,1
49,34
49,34
50,30
50,13
51,56
51,38
52,5
52,8
53,22
53,29
54,45
54,51
55,13
55,43
56,42
56,47
57,31
57,1
58,33
58,47
59,49
59,58
60,58
60,12
61,26
61,33
62,31
62,12
63,44
63,6
64,54
64,24
65,28
65,3
66,51
66,50
67,56
67,4
68,31
68,43
69,30
69,2
70,16
70,29
71,54
71,51
72,47
72,8
73,47
73,54
74,13
74,24
75,11
75,1
76,11
76,46
77,4
77,13
78,35
78,26
79,49
79,9
80,3
80,21
81,40
81,2
82,14
82,8
83,6
83,44
84,48
84,12
85,43
85,6
86,9
86,33
87,13
87,22
88,40
88,13
89,40
89,7
90,36
90,58
91,46
91,3
92,42
92,11
93,39
93,37
94,31
94,37
95,30
95,14
96,50
96,44
97,20
97,53
98,27
98,56
99,23
99,33
100,4
100,54
101,11
101,16
102,3
102,18
103,2
103,47
104,27
104,31
105,36
105,12
106,17
106,44
107,26
107,17
108,22
108,8
109,39
109,42
110,28
110,10
111,30
111,15
112,27
112,26
113,34
113,43
114,11
114,4
115,26
115,43
116,22
116,51
117,2
117,51
118,37
118,2
119,29
119,40
120,35
120,28
121,53
121,40
122,56
122,26
123,45
123,27
124,55
124,49
125,2
125,37
126,21
126,24
127,18
127,39
128,57
128,55
129,2
129,29
130,12
130,1
131,45
131,56
132,16
132,14
133,9
133,30
134,33
134,44
135,34
135,29
136,44
136,14
137,27
137,44
138,35
138,53
139,1
139,35
140,1
140,4
141,54
141,17
142,4
142,34
143,35
143,6
144,8
144,47
145,7
145,10
146,40
146,2
147,57
147,31
148,5
148,56
149,21
149,40
150,22
150,44
151,9
151,52
152,21
152,30
153,52
153,56
154,25
154,52
155,47
155,33
156,27
156,38
157,46
157,29
158,24
158,40
159,55
159,10
160,2
160,18
161,39
161,56
162,58
162,20
163,2
163,43
164,32
164,35
165,53
165,21
166,55
166,44
167,48
167,51
168,16
168,49
169,43
169,9
170,3
170,24
171,47
171,21
172,35
172,18
173,23
173,29
174,31
174,28
175,26
175,11
176,38
176,19
177,17
177,28
178,36
178,45
179,1
179,39
180,35
180,53
181,46
181,2
182,16
182,25
183,3
183,58
184,44
184,20
185,1
185,20
186,24
186,39
187,58
187,58
188,19
188,57
189,57
189,16
190,25
190,55
191,20
191,29
192,45
192,45
193,52
193,25
194,52
194,6
195,1
195,37
196,53
196,58
197,2
197,4
198,51
198,13
199,10
199,29
200,32
200,20
201,23
201,40
202,33
202,53
203,46
203,55
204,21
204,19
205,48
205,11
206,38
206,4
207,42
207,24
208,45
208,13
209,51
209,48
210,22
210,16
211,53
211,27
212,4
212,45
213,5
213,8
214,12
214,18
215,19
215,14
216,17
216,50
217,5
217,15
218,54
218,4
219,49
219,49
220,37
220,22
221,53
221,16
222,15
222,33
223,43
223,46
224,30
224,52
225,24
225,48
226,19
226,6
227,8
227,10
228,27
228,50
229,42
229,45
230,54
230,54
231,57
231,15
232,23
232,16
233,21
233,15
234,46
234,29
235,11
235,43
236,9
236,22
237,22
237,14
238,51
238,12
239,22
239,14
240,53
240,37
241,53
241,18
242,19
242,39
243,36
243,17
244,44
244,52
245,58
245,50
246,51
246,12
247,49
247,43
248,37
248,26
249,35
249,14
250,56
250,13
251,43
251,42
252,32
252,45
253,44
253,32
254,16
254,18
255,40
255,35
256,1
256,50
257,53
257,42
258,8
258,48
259,39
259,19
260,14
260,47
261,54
261,23
262,48
262,36
263,35
263,33
264,52
264,36
265,48
265,43
266,53
266,22
267,58
267,21
268,20
268,7
269,22
269,3
270,32
270,38
271,11
271,19
272,47
272,29
273,49
273,39
274,12
274,45
275,37
275,8
276,26
276,15
277,15
277,46
278,16
278,51
279,50
279,53
280,18
280,52
281,26
281,37
282,38
282,46
283,18
283,43
284,20
284,32
285,14
285,21
286,42
286,43
287,29
287,17
288,42
288,9
289,24
289,8
290,14
290,46
291,36
291,8
292,25
292,3
293,1
293,15
294,26
294,25
295,17
295,2
296,57
296,54
297,15
297,58
298,40
298,12
299,3
299,11
300,53
300,52
301,26
301,48
302,2
302,43
303,26
303,49
304,2
304,22
305,40
305,29
306,42
306,31
307,19
307,13
308,14
308,9
309,3
309,53
310,37
310,53
311,26
311,19
312,28
312,4
313,14
313,52
314,4
314,46
315,16
315,34
316,40
316,2
317,14
317,52
318,11
318,42
319,49
319,34
320,22
320,44
321,55
321,42
322,36
322,9
323,49
323,10
324,48
324,36
325,5
325,18
326,5
326,35
327,31
327,9
328,34
328,49
329,33
329,14
330,34
330,32
331,16
331,24
332,33
332,39
333,37
333,54
334,51
334,24
335,53
335,13
336,45
336,5
337,11
337,10
338,16
338,39
339,11
339,54
340,39
340,28
341,8
341,24
342,40
342,11
343,53
343,31
344,35
344,12
345,14
345,22
346,1
346,9
347,47
347,32
348,17
348,2
349,32
349,2
350,28
350,55
351,32
351,30
352,52
352,56
353,1
353,10
354,43
354,4
355,25
355,23
356,52
356,17
357,8
357,37
358,45
358,15
359,18
359,32
360,37
360,6
361,44
361,7
362,13
362,58
363,56
363,17
364,8
364,16
365,56
365,45
366,18
366,37
367,23
367,6
368,21
368,58
369,8
369,58
370,38
370,47
371,47
371,56
372,48
372,29
373,18
373,55
374,54
374,44
375,11
375,44
376,41
376,27
377,49
377,39
378,39
378,47
379,35
379,24
380,54
380,21
381,56
381,19
382,45
382,14
383,53
383,35
384,30
384,12
385,18
385,35
386,34
386,25
387,37
387,29
388,1
388,55
389,49
389,29
390,54
390,9
391,51
391,8
392,41
392,6
393,40
393,27
394,1
394,19
395,45
395,42
396,13
396,54
397,12
397,48
398,35
398,31
399,40
399,32
400,53
400,49
401,55
401,46
402,29
402,6
403,25
403,2
404,32
404,25
405,26
405,46
406,11
406,23
407,33
407,9
408,55
408,58
409,21
409,55
410,1
410,43
411,27
411,57
412,52
412,56
413,50
413,52
414,46
414,12
415,23
415,22
416,40
416,29
417,56
417,27
418,27
418,32
419,23
419,32
420,46
420,24
421,38
421,28
422,22
422,3
423,41
423,52
424,46
424,15
425,43
425,30
426,37
426,50
427,46
427,37
428,33
428,27
429,36
429,58
430,34
430,34
431,35
431,28
432,54
432,49
433,46
433,8
434,56
434,49
435,14
435,24
436,49
436,22
437,52
437,16
438,4
438,53
439,40
439,5
440,25
440,17
441,51
441,18
442,11
442,57
443,50
443,39
444,26
444,7
445,26
445,29
446,32
446,35
447,4
447,50
448,12
448,55
449,58
449,8
450,43
450,14
451,8
451,44
452,22
452,48
453,57
453,11
454,40
454,11
455,13
455,38
456,24
456,8
457,11
457,27
458,37
458,23
459,39
459,53
460,47
460,35
461,42
461,19
462,11
462,9
463,27
463,15
464,30
464,49
465,32
465,18
466,45
466,44
467,1
467,36
468,14
468,24
469,52
469,1
470,40
470,34
471,54
471,54
472,40
472,44
473,51
473,9
474,54
474,12
475,37
475,43
476,40
476,7
477,15
477,34
478,26
478,10
479,54
479,31
480,14
480,32
481,27
481,39
482,38
482,57
483,1
483,39
484,47
484,34
485,46
485,55
486,24
486,23
487,45
487,47
488,24
488,28
489,45
489,58
490,34
490,29
491,45
491,2
492,1
492,14
493,32
493,28
494,19
494,14
495,20
495,44
496,38
496,29
497,55
497,51
498,3
498,37
499,53
499,3
500,50
500,19
501,2
501,49
502,20
502,37
503,1
503,38
504,4
504,57
505,7
505,23
506,21
506,8
507,13
507,55
508,55
508,28
509,15
509,8
510,53
510,53
511,12
511,46
512,29
512,49
513,37
513,52
514,33
514,39
515,53
515,43
516,10
516,51
517,8
517,29
518,7
518,12
519,57
519,16
520,5
520,21
521,25
521,10
522,54
522,48
523,41
523,36
524,32
524,25
525,50
525,26
526,17
526,20
527,5
527,15
528,15
528,28
529,55
529,32
530,43
530,29
531,12
531,38
532,36
532,28
533,46
533,33
534,54
534,56
535,13
535,33
536,49
536,23
537,34
537,49
538,37
538,32
539,13
539,34
540,48
540,54
541,55
541,35
542,31
542,26
543,20
543,47
544,13
544,13
545,4
545,32
546,5
546,23
547,1
547,45
548,50
548,40
549,25
549,12
550,55
550,18
551,12
551,21
552,16
552,15
553,46
553,58
554,32
554,44
555,15
555,17
556,47
556,44
557,54
557,42
558,1
558,32
559,5
559,48
560,6
560,55
561,13
561,36
562,32
562,32
563,12
563,4
564,43
564,6
565,57
565,7
566,13
566,33
567,3
567,2
568,36
568,16
569,4
569,13
570,56
570,23
571,40
571,40
572,22
572,33
573,58
573,10
574,32
574,42
575,29
575,19
576,24
576,25
577,11
577,56
578,5
578,35
579,37
579,37
580,44
580,1
581,18
581,4
582,44
582,55
583,50
583,18
584,57
584,44
585,3
585,48
586,49
586,19
587,2
587,52
588,37
588,16
589,31
589,43
590,39
590,57
591,46
591,44
592,32
592,34
593,27
593,12
594,16
594,27
595,21
595,15
596,14
596,39
597,9
597,33
598,32
598,5
599,18
599,16
600,15
600,37
601,46
601,33
602,47
602,50
603,36
603,52
604,34
604,30
605,51
605,12
606,6
606,45
607,4
607,14
608,45
608,57
609,43
609,17
610,30
610,26
611,10
611,56
612,26
612,48
613,28
613,28
614,16
614,53
615,11
615,46
616,1
616,4
617,53
617,33
618,15
618,52
619,38
619,11
620,49
620,48
621,47
621,4
622,13
622,34
623,33
623,9
624,35
624,4
625,10
625,53
626,39
626,45
627,45
627,57
628,37
628,24
629,26
629,18
630,56
630,51
631,26
631,14
632,7
632,13
633,41
633,48
634,49
634,5
635,13
635,40
636,41
636,21
637,47
637,36
638,22
638,13
639,45
639,26
640,34
640,7
641,24
641,49
642,23
642,40
643,52
643,5
644,32
644,47
645,5
645,30
646,6
646,8
647,31
647,2
648,15
648,8
649,13
649,18
650,42
650,45
651,9
651,42
652,8
652,10
653,33
653,21
654,42
654,40
655,3
655,53
656,12
656,28
657,41
657,2
658,14
658,55
659,45
659,40
660,16
660,26
661,11
661,7
662,12
662,34
663,58
663,25
664,32
664,33
665,21
665,14
666,55
666,6
667,27
667,43
668,49
668,51
669,30
669,45
670,33
670,44
671,43
671,28
672,2
672,15
673,58
673,29
674,31
674,14
675,35
675,53
676,15
676,34
677,51
677,49
678,20
678,32
679,15
679,40
680,28
680,11
681,17
681,50
682,37
682,32
683,57
683,38
684,30
684,51
685,41
685,14
686,31
686,43
687,57
687,3
688,8
688,34
689,43
689,1
690,27
690,15
691,27
691,1
692,38
692,24
693,17
693,19
694,45
694,43
695,24
695,48
696,11
696,45
697,55
697,18
698,35
698,29
699,55
699,53
700,57
700,43
701,1
701,41
702,48
702,20
703,18
703,3
704,57
704,38
705,7
705,53
706,4
706,9
707,18
707,41
708,10
708,7
709,48
709,14
710,51
710,17
711,10
711,4
712,25
712,38
713,52
713,41
714,31
714,10
715,51
715,38
716,55
716,45
717,21
717,1
718,14
718,20
719,22
719,40
720,56
720,49
721,38
721,34
722,18
722,32
723,13
723,38
724,23
724,53
725,43
725,40
726,8
726,16
727,31
727,58
728,6
728,19
729,38
729,52
730,58
730,17
731,7
731,40
732,42
732,16
733,11
733,32
734,15
734,11
735,23
735,17
736,23
736,20
737,12
737,3
738,32
738,45
739,49
739,50
740,54
740,12
741,26
741,6
742,54
742,14
743,51
743,18
744,44
744,47
745,20
745,12
746,5
746,2
747,33
747,50
748,47
748,21
749,43
749,11
750,20
750,48
751,4
751,46
752,11
752,28
753,35
753,4
754,55
754,38
755,55
755,39
756,26
756,4
757,18
757,56
758,1
758,53
759,3
759,18
760,50
760,9
761,47
761,35
762,42
762,58
763,8
763,50
764,21
764,2
765,36
765,53
766,58
766,33
767,38
767,47
768,48
768,24
769,36
769,4
770,54
770,43
771,44
771,9
772,5
772,5
773,27
773,14
774,50
774,50
775,8
775,25
776,31
776,4
777,26
777,34
778,26
778,52
779,13
779,26
780,22
780,1
781,42
781,22
782,2
782,45
783,47
783,52
784,51
784,34
785,43
785,38
786,41
786,48
787,28
787,47
788,46
788,38
789,6
789,31
790,53
790,24
791,33
791,37
792,21
792,57
793,44
793,24
794,22
794,41
795,36
795,28
796,38
796,27
797,3
797,10
798,20
798,49
799,40
799,41
800,12
800,40
801,32
801,56
802,28
802,11
803,11
803,17
804,48
804,20
805,11
805,42
806,21
806,54
807,6
807,4
808,11
808,10
809,44
809,21
810,43
810,29
811,17
811,26
812,10
812,24
813,21
813,22
814,22
814,57
815,25
815,8
816,32
816,4
817,18
817,30
818,47
818,32
819,26
819,18
820,19
820,2
821,20
821,56
822,40
822,33
823,7
823,50
824,24
824,42
825,2
825,7
826,43
826,53
827,1
827,3
828,10
828,17
829,21
829,20
830,58
830,9
831,6
831,32
832,28
832,58
833,12
833,51
834,23
834,27
835,7
835,41
836,17
836,11
837,27
837,18
838,3
838,34
839,46
839,24
840,21
840,48
841,20
841,53
842,28
842,11
843,45
843,40
844,49
844,3
845,42
845,34
846,50
846,31
847,52
847,39
848,15
848,25
849,18
849,49
850,50
850,52
851,23
851,57
852,56
852,32
853,37
853,52
854,58
854,15
855,7
855,5
856,34
856,31
857,40
857,46
858,9
858,24
859,20
859,54
860,37
860,50
861,20
861,14
862,31
862,22
863,32
863,45
864,44
864,10
865,6
865,46
866,53
866,22
867,18
867,35
868,14
868,17
869,21
869,16
870,2
870,28
871,6
871,3
872,3
872,29
873,29
873,28
874,23
874,14
875,19
875,57
876,35
876,54
877,36
877,22
878,21
878,3
879,2
879,6
880,37
880,25
881,58
881,24
882,26
882,12
883,51
883,44
884,16
884,41
885,51
885,5
886,18
886,41
887,20
887,56
888,29
888,17
889,52
889,10
890,55
890,51
891,29
891,30
892,56
892,55
893,20
893,48
894,14
894,13
895,11
895,26
896,21
896,11
897,48
897,15
898,6
898,28
899,58
899,49
900,51
900,22
901,6
901,57
902,55
902,37
903,22
903,27
904,6
904,26
905,21
905,37
906,47
906,38
907,19
907,36
908,2
908,52
909,32
909,57
910,40
910,16
911,37
911,52
912,47
912,6
913,40
913,41
914,38
914,57
915,9
915,58
916,13
916,46
917,3
917,28
918,38
918,50
919,51
919,54
920,20
920,28
921,38
921,37
922,24
922,46
923,14
923,4
924,21
924,11
925,21
925,51
926,2
926,50
927,4
927,55
928,1
928,44
929,46
929,5
930,15
930,54
931,55
931,33
932,6
932,9
933,11
933,45
