"Household_ID","Region","Income","Race","PubTrans"
1,19,"NO","Amer Indian","No"
2,65,"NO","White","No"
3,39,"NO","White","No"
4,55,"POV","White","No"
5,18,"POV","Asian","No"
6,12,"NO","Asian","No"
7,27,"POV","Black","Yes"
8,46,"NO","White","No"
9,21,"NO","White","No"
10,69,"POV","Hispanic","No"
11,12,"NO","White","No"
12,69,"POV","Asian","No"
13,9,"NO","White","No"
14,18,"POV","White","No"
15,67,"NO","White","No"
16,44,"NO","White","No"
17,47,"NO","White","No"
18,70,"NO","White","No"
19,55,"NO","White","No"
20,69,"NO","White","Yes"
21,34,"NO","White","No"
22,17,"POV","Asian","No"
23,55,"NO","White","No"
24,30,"NO","White","No"
25,60,"NO","Hispanic","Yes"
26,66,"NO","Hispanic","No"
27,65,"NO","White","No"
28,25,"NO","White","No"
29,38,"NO","White","No"
30,20,"POV","White","No"
31,58,"NO","White","No"
32,70,"NO","White","No"
33,13,"POV","Black","No"
34,69,"NO","Asian","No"
35,12,"NO","White","No"
36,22,"NO","White","No"
37,49,"NO","White","No"
38,16,"NO","White","Yes"
39,14,"POV","White","No"
40,11,"NO","Asian","No"
41,70,"NO","White","No"
42,68,"NO","White","No"
43,18,"POV","White","No"
44,3,"NO","White","No"
45,28,"NO","White","Yes"
46,1,"NO","White","No"
47,39,"POV","White","No"
48,15,"NO","White","No"
49,23,"NO","Hispanic","No"
50,22,"NO","White","No"
51,22,"NO","Hispanic","No"
52,21,"NO","White","No"
53,66,"NO","Asian","No"
54,49,"NO","White","Yes"
55,53,"NO","White","No"
56,6,"NO","White","No"
57,25,"NO","White","No"
58,58,"NO","White","No"
59,70,"NO","White","No"
60,15,"NO","White","No"
61,66,"NO","White","No"
62,42,"NO","Black","No"
63,66,"NO","White","No"
64,65,"NO","White","No"
65,1,"NO","White","No"
66,22,"NO","White","No"
67,60,"NO","White","No"
68,13,"NO","Multirace","No"
69,19,"NO","Black","No"
70,8,"NO","White","No"
71,58,"NO","Hispanic","No"
72,35,"NO","White","No"
73,36,"NO","Hispanic","No"
74,21,"NO","White","No"
75,29,"NO","White","No"
76,14,"POV","White","No"
77,47,"NO","White","No"
78,37,"POV","White","No"
79,13,"NO","White","No"
80,21,"NO","White","No"
81,70,"NO","White","No"
82,52,"NO","Black","No"
83,16,"POV","Asian","No"
84,28,"NO","White","No"
85,53,"NO","White","No"
86,70,"NO","White","No"
87,66,"NO","White","No"
88,26,"NO","White","No"
89,67,"NO","White","No"
90,60,"NO","White","No"
91,55,"NO","White","No"
92,14,"NO","White","No"
93,66,"NO","White","No"
94,18,"POV","White","Yes"
95,13,"NO","White","No"
96,67,"NO","White","No"
97,30,"NO","Hispanic","No"
98,63,"NO","Black","No"
99,36,"POV","Hispanic","No"
100,60,"NO","White","No"
101,1,"NO","Asian","No"
102,68,"NO","White","Yes"
103,50,"NO","White","No"
104,30,"POV","Hispanic","No"
105,50,"NO","White","No"
106,43,"NO","White","No"
107,22,"POV","White","No"
108,66,"NO","White","No"
109,14,"POV","Multirace","No"
110,55,"NO","White","No"
111,65,"NO","White","No"
112,19,"POV","Black","No"
113,17,"POV","White","No"
114,69,"POV","White","No"
115,47,"NO","White","No"
116,28,"NO","White","No"
117,9,"NO","White","No"
118,48,"NO","White","No"
119,6,"POV","White","No"
120,2,"POV","White","Yes"
121,69,"NO","White","No"
122,15,"POV","White","No"
123,21,"NO","White","No"
124,70,"NO","White","Yes"
125,14,"POV","Hispanic","No"
126,11,"NO","White","Yes"
127,70,"NO","White","No"
128,9,"POV","White","No"
129,56,"NO","White","No"
130,14,"POV","White","No"
131,36,"POV","White","No"
132,3,"NO","White","No"
133,1,"NO","White","No"
134,69,"NO","Hispanic","No"
135,3,"NO","White","No"
136,23,"POV","Hispanic","No"
137,13,"POV","White","No"
138,29,"NO","White","No"
139,38,"NO","White","No"
140,63,"NO","White","No"
141,26,"POV","Hispanic","No"
142,1,"NO","Asian","No"
143,45,"NO","White","No"
144,30,"NO","White","No"
145,33,"NO","White","No"
146,44,"NO","White","No"
147,37,"POV","White","No"
148,40,"NO","White","No"
149,16,"POV","Asian","Yes"
150,2,"POV","White","No"
151,70,"NO","Asian","No"
152,55,"NO","White","No"
153,36,"NO","White","No"
154,22,"NO","White","No"
155,37,"NO","White","No"
156,70,"NO","White","No"
157,34,"NO","White","No"
158,24,"NO","White","No"
159,59,"NO","White","No"
160,70,"NO","White","No"
161,62,"NO","White","No"
162,61,"NO","White","No"
163,13,"NO","White","Yes"
164,18,"POV","White","No"
165,42,"NO","White","Yes"
166,61,"NO","White","No"
167,46,"NO","White","No"
168,62,"NO","White","No"
169,1,"NO","White","No"
170,2,"NO","White","No"
171,52,"NO","Black","No"
172,44,"NO","White","No"
173,69,"NO","Hispanic","No"
174,38,"NO","White","No"
175,54,"NO","White","No"
176,4,"NO","Asian","No"
177,66,"NO","White","No"
178,65,"NO","White","No"
179,66,"NO","White","No"
180,22,"NO","White","No"
181,22,"NO","Multirace","No"
182,69,"POV","White","No"
183,53,"NO","White","No"
184,8,"NO","White","No"
185,18,"NO","Black","No"
186,67,"NO","White","No"
187,45,"NO","White","No"
188,24,"NO","White","No"
189,10,"NO","White","No"
190,70,"NO","White","No"
191,63,"NO","White","No"
192,64,"NO","Hispanic","No"
193,68,"NO","White","Yes"
194,30,"NO","White","No"
195,1,"POV","White","No"
196,2,"NO","White","No"
197,3,"NO","White","No"
198,59,"NO","White","No"
199,56,"NO","White","No"
200,70,"NO","White","No"
201,19,"NO","White","No"
202,37,"POV","Multirace","No"
203,65,"NO","White","No"
204,2,"NO","White","No"
205,58,"POV","White","No"
206,67,"NO","Hispanic","No"
207,70,"NO","White","No"
208,59,"NO","White","No"
209,33,"NO","Black","No"
210,2,"NO","White","No"
211,66,"NO","White","No"
212,60,"NO","White","No"
213,61,"NO","White","No"
214,27,"NO","Black","No"
215,66,"NO","White","No"
216,37,"NO","White","No"
217,27,"NO","Black","No"
218,27,"NO","White","No"
219,67,"NO","White","No"
220,63,"NO","White","No"
221,56,"NO","White","No"
