Person_ID,Workplace
1,14
2,248
3,15
4,383
5,349
6,3
7,12
8,923
9,5
10,1
11,14
12,795
13,5
14,1
15,14
16,326
17,380
18,6
19,921
20,11
21,426
22,0
23,0
24,590
25,36
26,10
27,6
28,2
29,0
30,778
31,578
32,415
33,0
34,0
35,0
36,7
37,2
38,11
39,37
40,498
41,10
42,725
43,816
44,12
45,313
46,1
47,427
48,2
49,12
50,836
51,9
52,66
53,0
54,12
55,3
56,4
57,598
58,4
59,11
60,12
61,312
62,12
63,0
64,15
65,14
66,464
67,13
68,13
69,584
70,8
71,549
72,5
73,457
74,6
75,3
76,653
77,5
78,14
79,14
80,252
81,943
82,734
83,205
84,564
85,350
86,11
87,11
88,11
89,749
90,618
91,13
92,14
93,522
94,900
95,90
96,10
97,0
98,0
99,2
100,4
101,6
102,2
103,142
104,0
105,351
106,0
107,0
108,782
109,70
110,5
111,1
112,829
113,245
114,984
115,123
116,185
117,461
118,0
119,490
120,14
121,14
122,14
123,5
124,14
125,177
126,808
127,6
128,0
129,0
130,14
131,4
132,706
133,548
134,916
135,231
136,102
137,6
138,12
139,166
140,1
141,4
142,740
143,716
144,776
145,591
146,677
147,820
148,2
149,146
150,0
151,8
152,14
153,14
154,1
155,354
156,4
157,312
158,9
159,2
160,2
161,14
162,2
163,2
164,14
165,290
166,1
167,995
168,907
169,870
170,1
171,0
172,1
173,931
174,14
175,11
176,14
177,351
178,492
179,5
180,442
181,479
182,458
183,994
184,0
185,537
186,542
187,437
188,5
189,14
190,4
191,837
192,3
193,13
194,13
195,13
196,11
197,0
198,5
199,14
200,356
201,15
202,85
203,532
204,9
205,8
206,8
207,871
208,135
209,6
210,0
211,743
212,127
213,660
214,770
215,15
216,2
217,727
218,0
219,6
220,374
221,977
222,14
223,908
224,3
225,6
226,14
227,506
228,3
229,377
230,4
231,124
232,5
233,819
234,6
235,390
236,2
237,6
238,986
239,0
240,871
241,1
242,10
243,771
244,12
245,12
246,8
247,448
248,12
249,613
250,14
251,2
252,665
253,934
254,0
255,122
256,6
257,4
258,5
259,489
260,53
261,561
262,471
263,3
264,718
265,330
266,539
267,15
268,14
269,0
270,2
271,168
272,48
273,280
274,14
275,5
276,3
277,63
278,2
279,420
280,530
281,5
282,14
283,861
284,12
285,668
286,189
287,6
288,11
289,261
290,14
291,137
292,8
293,720
294,14
295,5
296,1
297,12
298,356
299,0
300,1
301,373
302,398
303,5
304,1
305,5
306,985
307,0
308,533
309,300
310,591
311,1
312,174
313,6
314,8
315,311
316,6
317,703
318,874
319,3
320,0
321,0
322,813
323,15
324,590
325,12
326,12
327,101
328,101
329,277
330,582
331,6
332,854
333,14
334,14
335,5
336,2
337,6
338,6
339,12
340,14
341,1
342,644
343,15
344,317
345,11
346,526
347,0
348,5
349,14
350,14
351,10
352,1
353,524
354,102
355,477
356,12
357,511
358,15
359,293
360,14
361,1
362,110
363,10
364,12
365,581
366,935
367,11
368,208
369,809
370,5
371,444
372,10
373,462
374,5
375,0
376,12
377,12
378,125
379,465
380,8
381,8
382,148
383,12
384,14
385,5
386,1
387,5
388,885
389,833
390,639
391,550
392,770
393,778
394,415
395,456
396,243
397,3
398,689
399,187
400,230
401,14
402,11
403,909
404,256
405,269
406,507
407,48
408,13
409,11
410,0
411,729
412,615
413,811
414,3
415,45
416,3
417,664
418,129
419,148
420,12
421,6
422,484
423,15
424,988
425,0
426,384
427,112
428,14
429,49
430,10
431,12
432,577
433,973
434,383
435,11
436,2
437,917
438,11
439,932
440,672
441,15
442,11
443,0
444,677
445,6
446,274
447,896
448,975
449,921
450,773
451,14
452,1
453,5
454,446
455,6
456,807
457,117
458,11
459,317
460,12
461,970
462,6
463,4
464,381
465,0
466,6
467,637
468,734
469,6
470,4
471,4
472,0
473,101
474,5
475,14
476,390
477,158
478,13
479,9
480,103
481,10
482,352
483,264
484,6
485,315
486,5
487,213
488,242
489,2
490,2
491,2
492,12
493,916
494,7
495,142
496,900
497,290
498,969
