Person_ID,HouseID,Age
1,1,15
2,1,58
3,2,50
4,3,54
5,3,37
6,4,5
7,4,29
8,4,24
9,5,5
10,5,4
11,5,14
12,5,58
13,6,10
14,6,9
15,6,18
16,6,53
17,6,26
18,7,18
19,8,52
20,9,14
21,9,20
22,10,80
23,10,84
24,11,45
25,11,18
26,12,18
27,12,16
28,12,9
29,12,84
30,12,62
31,13,48
32,13,21
33,14,65
34,14,86
35,14,66
36,14,62
37,14,42
38,14,32
39,15,29
40,15,31
41,16,24
42,16,26
43,17,54
44,18,11
45,18,53
46,18,37
47,19,40
48,20,7
49,20,12
50,20,19
51,21,10
52,21,48
53,22,69
54,23,13
55,23,5
56,23,50
57,23,56
58,24,5
59,24,11
60,24,32
61,24,26
62,25,13
63,25,65
64,25,35
65,26,28
66,27,35
67,28,8
68,28,4
69,28,46
70,29,5
71,29,25
72,29,20
73,30,21
74,31,15
75,31,19
76,32,35
77,33,4
78,33,17
79,33,16
80,33,59
81,33,24
82,34,47
83,34,28
84,35,18
85,35,25
86,36,11
87,36,12
88,36,14
89,36,36
90,36,52
91,37,20
92,38,13
93,38,33
94,38,26
95,39,27
96,39,24
97,40,72
98,40,87
99,41,4
100,41,18
101,41,17
102,41,5
103,41,18
104,41,69
105,42,24
106,42,83
107,42,75
108,42,20
109,43,21
110,44,9
111,44,8
112,44,44
113,44,45
114,45,40
115,46,22
116,46,26
117,46,21
118,46,72
119,46,22
120,47,22
121,48,15
122,48,14
123,48,4
124,48,14
125,48,59
126,48,46
127,49,16
128,49,69
129,49,73
130,50,38
131,51,10
132,51,26
133,52,23
134,52,32
135,52,21
136,52,21
137,53,25
138,54,13
139,54,57
140,54,28
141,55,8
142,55,34
143,56,24
144,56,23
145,57,20
146,57,30
147,58,30
148,59,6
149,59,42
150,59,73
151,60,18
152,60,14
153,60,13
154,60,6
155,60,25
156,61,46
157,62,30
158,62,24
159,63,9
160,63,6
161,63,26
162,64,7
163,64,6
164,64,35
165,64,27
166,65,31
167,65,19
168,66,18
169,66,33
170,66,19
171,67,87
172,68,9
173,68,58
174,68,46
175,69,11
176,69,16
177,69,51
178,69,27
179,70,6
180,70,33
181,70,51
182,71,44
183,72,25
184,72,66
185,72,18
186,72,23
187,73,27
188,73,38
189,73,21
190,74,9
191,74,26
192,74,20
193,75,8
194,75,7
195,75,8
196,75,12
197,75,100
198,76,6
199,76,13
200,76,48
201,76,41
202,77,55
203,78,18
204,78,53
205,78,18
206,79,23
207,80,31
208,81,23
209,82,16
210,82,85
211,83,33
212,84,31
213,84,35
214,84,29
215,85,32
216,86,7
217,86,34
218,87,100
219,88,19
220,88,24
221,89,33
222,89,29
223,90,26
224,91,7
225,91,17
226,91,22
227,91,35
228,92,35
229,92,57
230,92,18
231,92,26
232,93,34
233,93,19
234,94,22
235,95,55
236,96,4
237,96,16
238,96,26
239,97,100
240,97,21
241,97,19
242,97,20
243,98,30
244,99,12
245,99,12
246,99,8
247,99,18
248,99,31
249,100,22
250,101,14
251,101,18
252,101,41
253,101,20
254,102,80
255,103,26
256,104,15
257,104,4
258,104,32
259,104,18
260,105,36
261,106,21
262,106,37
263,106,58
264,106,25
265,106,32
266,107,31
267,107,28
268,107,22
269,107,81
270,108,4
271,108,18
272,108,36
273,108,39
274,109,11
275,109,8
276,109,23
277,110,26
278,111,4
279,111,38
280,112,52
281,113,8
282,113,16
283,113,32
284,114,11
285,114,18
286,114,21
287,115,17
288,115,12
289,115,18
290,115,36
291,115,18
292,116,5
293,116,37
294,117,12
295,117,8
296,117,6
297,117,37
298,117,19
299,118,66
300,119,4
301,119,38
302,119,38
303,120,8
304,120,7
305,120,7
306,120,22
307,120,69
308,121,28
309,121,36
310,122,35
311,122,44
312,122,35
313,122,25
314,123,19
315,123,52
316,124,16
317,124,28
318,125,53
319,126,35
320,127,67
321,127,67
322,127,41
323,127,26
324,128,25
325,129,12
326,129,14
327,129,23
328,130,23
329,130,22
330,131,18
331,131,37
332,131,48
333,132,22
334,133,15
335,133,58
336,134,4
337,134,16
338,134,15
339,134,19
340,135,14
341,135,5
342,135,38
343,136,28
344,136,20
345,136,19
346,136,30
347,136,100
348,137,4
349,137,15
350,137,15
351,137,48
352,138,21
353,138,31
354,139,29
355,139,20
356,140,11
357,140,44
358,140,24
359,141,42
360,142,11
361,142,5
362,142,34
363,143,8
364,143,12
365,143,21
366,143,43
367,144,14
368,144,32
369,144,24
370,145,28
371,145,39
372,146,5
373,146,18
374,146,29
375,146,92
376,147,11
377,147,13
378,147,59
379,147,32
380,148,8
381,148,10
382,148,18
383,149,26
384,149,23
385,150,10
386,150,7
387,150,8
388,150,44
389,150,34
390,151,22
391,151,39
392,151,20
393,151,21
394,151,42
395,152,28
396,153,50
397,154,23
398,155,43
399,156,39
400,156,28
401,156,61
402,156,20
403,156,19
404,157,30
405,157,18
406,157,49
407,157,19
408,158,5
409,158,14
410,158,97
411,158,20
412,159,20
413,159,32
414,159,42
415,159,23
416,159,21
417,159,20
418,160,50
419,161,18
420,161,12
421,161,15
422,161,19
423,161,24
424,162,21
425,162,93
426,162,30
427,163,55
428,164,13
429,164,37
430,165,4
431,165,12
432,165,23
433,165,43
434,166,28
435,167,11
436,167,29
437,168,21
438,169,20
439,169,35
440,169,27
441,169,19
442,169,34
443,169,100
444,170,18
445,171,56
446,172,18
447,173,38
448,174,32
449,175,24
450,175,37
451,176,16
452,176,8
453,176,7
454,176,29
455,177,17
456,177,25
457,177,18
458,178,31
459,178,35
460,179,14
461,179,21
462,180,16
463,180,4
464,180,32
465,181,83
466,182,15
467,182,21
468,182,25
469,183,16
470,183,4
471,183,10
472,183,82
473,183,38
474,184,9
475,184,11
476,184,30
477,184,19
478,185,23
479,185,43
480,186,37
481,187,10
482,187,32
483,187,37
484,188,17
485,188,38
486,189,6
487,189,33
488,189,27
489,190,8
490,190,8
491,190,7
492,190,11
493,190,47
494,191,10
495,191,32
496,191,36
497,192,21
498,193,42
499,194,24
500,194,23
501,195,8
502,195,7
503,195,30
504,195,18
505,196,10
506,196,21
507,196,90
508,197,9
509,197,13
510,197,20
511,197,24
512,198,9
513,198,14
514,198,37
515,198,37
516,199,17
517,199,15
518,199,19
519,199,65
520,200,15
521,200,46
522,201,29
523,202,4
524,202,8
525,202,18
526,203,36
527,204,6
528,204,5
529,204,45
530,205,4
531,205,17
532,205,32
533,205,77
534,206,29
535,206,20
536,207,35
537,208,6
538,208,6
539,208,35
540,209,31
541,209,42
542,209,43
543,210,29
544,210,39
545,211,5
546,211,24
547,211,41
548,212,46
549,212,33
550,213,7
551,213,15
552,213,10
553,213,15
554,213,50
555,214,55
556,215,49
557,215,21
558,215,36
559,216,7
560,216,8
561,216,26
562,216,52
563,217,54
564,218,10
565,218,17
566,218,9
567,218,22
568,219,23
569,219,37
570,219,37
571,219,24
572,219,20
573,219,36
574,220,37
575,221,22
576,221,40
577,221,22
578,221,18
579,221,36
580,222,14
581,222,4
582,222,14
583,222,36
584,222,33
585,223,21
586,224,44
587,224,23
588,225,5
589,225,28
