year,geo_name,geo,acs_occ_name,acs_occ,num_emp,num_emp_moe,num_emp_rca
2013.0,"West Lafayette, IN","16000US1882862","Management","0000000000",1098.0,209.442,0.8971
2013.0,"West Lafayette, IN","16000US1882862","Business & Financial Operations","0000010000",484.0,147.187,0.753354
2013.0,"West Lafayette, IN","16000US1882862","Computer & Mathematical","0001000000",384.0,137.83,1.07794
2013.0,"West Lafayette, IN","16000US1882862","Architecture & Engineering","0001010000",321.0,111.198,1.34923
2013.0,"West Lafayette, IN","16000US1882862","Life, Physical, & Social Science","0001020000",528.0,150.572,4.39663
2013.0,"West Lafayette, IN","16000US1882862","Community & Social Service","0002000000",265.0,99.0454,1.18105
2013.0,"West Lafayette, IN","16000US1882862","Legal","0002010000",188.0,91.6788,1.12594
2013.0,"West Lafayette, IN","16000US1882862","Education, Training, & Library","0002020000",3443.0,431.028,4.26212
2013.0,"West Lafayette, IN","16000US1882862","Arts & Recreation","0002030000",244.0,91.2414,0.901322
2013.0,"West Lafayette, IN","16000US1882862","Health Practitioners","0003000000",395.0,126.317,0.807757
2013.0,"West Lafayette, IN","16000US1882862","Health Technicians","0003010000",140.0,78.0,0.631953
2013.0,"West Lafayette, IN","16000US1882862","Healthcare Support","0100000000",183.0,92.1792,0.536615
2013.0,"West Lafayette, IN","16000US1882862","Law Enforcement Supervisors","0101000000",175.0,80.2122,1.02179
2013.0,"West Lafayette, IN","16000US1882862","Fire Fighting Supervisors","0101010000",48.0,59.0931,0.379076
2013.0,"West Lafayette, IN","16000US1882862","Food & Serving","0102000000",1230.0,285.895,1.54559
2013.0,"West Lafayette, IN","16000US1882862","Cleaning & Maintenance","0103000000",159.0,71.7844,0.291873
2013.0,"West Lafayette, IN","16000US1882862","Personal Care & Service","0104000000",649.0,208.406,1.30476
2013.0,"West Lafayette, IN","16000US1882862","Sales","0200000000",1270.0,279.016,0.873245
2013.0,"West Lafayette, IN","16000US1882862","Administrative","0201000000",1146.0,215.335,0.63291
2013.0,"West Lafayette, IN","16000US1882862","Farming, Fishing, & Forestry","0300000000",28.0,21.2132,0.368151
2013.0,"West Lafayette, IN","16000US1882862","Construction & Extraction","0301000000",101.0,77.7946,0.163185
2013.0,"West Lafayette, IN","16000US1882862","Installation, Maintenance, & Repair","0302000000",131.0,97.9847,0.332881
2013.0,"West Lafayette, IN","16000US1882862","Production","0400000000",311.0,110.86,0.42039
2013.0,"West Lafayette, IN","16000US1882862","Transportation","0401000000",105.0,64.5136,0.235851
2013.0,"West Lafayette, IN","16000US1882862","Material Moving","0402000000",83.0,65.5515,0.249622
