Region,Total Population,% Female,% Male,% White,%Black,% Asian,% Hispanic,% Amer Indian,% Multirace,% Other,Median Age,Total Household,% Fam Houses,% NF Houses,Median income,% Below Pov,% Preschool,% Kindergarten,% Grades 1-4,% Grades 5-8,% Grades 9-12,% Public Trans,LafHouse,WLHouse,Elementary Schools,Middle Schools,High Schools
1,5309,41,59,80.9,0.8,15.4,1.5,0,1.4,0,21.9,2377,18.8,81.2,18827,14.8,0.56,0.81,1.13,1.88,0.6,4.65,0.220283763,0.17287568,CL/HH,HH/WLJH,WLJSH
2,3158,56.9,43.1,79,3.7,12.8,2.9,0.5,1.1,0.3,29.3,1370,41.3,58.7,23135,29.3,1.75,1.56,1.9,2.96,3.72,2.74,0.18878963,0.069233989,CL/HH,HH/WLJH,WLJSH
3,3190,47.6,52.4,85.1,1.4,9.9,1.6,0.2,1.8,0.3,40,983,86,14,91216,13.9,3.63,1.54,5.79,9.1,8.9,0,0.230898581,0.251151109,CL/HH,HH/WLJH,WLJSH
4,2795,49.1,50.9,82.2,3.3,10.6,2.5,0.1,1.1,0.2,30,1044,51.4,48.6,50776,13.4,3.05,1.16,4.6,6.25,5.86,3.15,0.095778595,0.317538719,CL/HH,HH/WLJH,WLJSH
5,60,60,40,96.6,0,0,3.4,0,0,0,64.5,29,69,31,97545,3.99,0,0,0,0,0,0,0.117603784,0.090414399,CL/HH,HH/WLJH,WLJSH
6,956,47.7,52.3,68.3,8.1,11.4,9.2,0.6,2.2,0.2,25.6,620,29.7,70.3,22819,35.1,2.39,0,1.14,1.77,2.91,5.28,0.120266246,0.091084136,CL/HH,HH/WLJH,WLJSH
7,854,45.7,54.3,86.9,0,0,13.1,0,0,0,33,403,59.8,40.2,76667,4.1,0,0,5.33,5.85,22.2,1.71,0.026379401,0.007701967,CL/HH,HH/WLJH,WLJSH
8,1099,34,66,77.9,3.6,18.5,0,0,0,0,31.1,524,53.2,46.8,57986,20.1,0,0,1.16,9.05,1.88,2.86,,,CL/HH,HH/WLJH,WLJSH
9,1631,45.5,54.5,85.5,3.4,6.6,0,0,4.5,0,27.7,722,42.4,57.6,70118,13.7,0,0,7.43,4.09,0,16.7,,,CL/HH,HH/WLJH,WLJSH
10,1295,56.3,43.7,66.2,6.6,15.3,0,0,11.9,0,26.6,586,49.3,50.7,43306,12.8,2.35,0,0,3.89,7.87,5.88,,,CL/HH,HH/WLJH,WLJSH
11,873,54.4,45.6,65.4,9.3,22.7,1.8,0.8,0,0,24.6,612,25.2,74.8,23456,0.97,6.53,1.55,4.32,0,0,18.9,,,CL/HH,HH/WLJH,WLJSH
12,780,55.9,44.1,79.1,0,13.4,1.3,0,6.2,0,22.4,314,13.7,86.3,24091,33.9,1.96,0,2.8,1.49,2.89,0,,,CL/HH,HH/WLJH,WLJSH
13,2171,45.8,54.2,75.6,2.3,17.2,1.6,0,3,0.3,22.9,1116,24.5,75.5,25898,51,0.87,0,1.83,0.61,1.22,10.9,,,CL/HH,HH/WLJH,WLJSH
14,2355,64.6,35.4,75.4,3.4,14.8,3.2,0,2.9,0.3,20.3,215,3.7,96.3,10972,66.1,0,0,0,0,0,2.05,,,CL/HH,HH/WLJH,WLJSH
15,1505,38,62,70.5,10.3,14.6,2.5,0,2.1,0,22,630,1.1,98.9,18134,74.7,0,0,0,0.46,0.31,1.9,,,CL/HH,HH/WLJH,WLJSH
16,2689,30.9,69.1,64.3,4.8,26,3.1,0,1.6,0.2,22,1115,4,96,16227,74.1,0,0,0,0,0,6.67,,,CL/HH,HH/WLJH,WLJSH
17,1362,55.6,44.4,56.9,1.7,35.2,4,0,1.8,0.4,21.6,362,4.7,95.3,8099,72.9,0,0,0,0,0,1.88,,,CL/HH,HH/WLJH,WLJSH
18,2666,41.2,58.8,72.7,1.8,21.1,4.4,0,0,0,22,1454,4.1,95.9,10497,78,0,0,0,0,0,3.48,,,CL/HH,HH/WLJH,WLJSH
19,1693,42.8,57.2,68.9,23.1,0,4.7,3.3,0,0,26.7,699,44.5,55.5,24583,15.7,0,1.39,2.17,10.9,5.56,5.04,,,Vinton,Sunnyside,WLJSH
20,916,54.2,45.8,82.2,2.3,0,15.5,0,0,0,37.2,500,47.6,52.4,42688,11.2,2.25,0,1.86,4.49,3.71,0,,,Vinton,Sunnyside,Jefferson
21,1019,54.3,45.7,87.5,3.2,1.6,7.2,0,0.5,0,34.4,415,67,33,63068,0.83,2.49,6.65,7.38,3.32,2.18,1.9,,,Glenn Acres,Sunnyside,Jefferson
22,1956,51.3,48.7,74.2,5.2,1.6,13.7,0,5.3,0,50.3,910,68.5,31.5,56111,5,0,0.58,2.09,2.73,2.91,0,,,Glenn Acres,Sunnyside,Jefferson
23,755,46.3,53.7,79,6.4,0,11.8,0,2.8,0,30,421,37.5,62.5,31711,15.6,1.47,3.4,3.96,3.51,7.02,4.28,,,Vinton,Sunnyside,Jefferson
24,827,41.5,58.5,82.3,12.7,0,4,0,1,0,36.2,373,57.9,42.1,33984,4.46,1.37,0,4.64,9.05,3.6,2.1,,,Vinton,Sunnyside,Jefferson
25,1789,44.6,55.4,79.3,0,0,20.7,0,0,0,30.1,781,50.1,49.9,45234,2.87,0.56,2.11,7.93,3.9,5.14,0,,,Vinton,Sunnyside,Jefferson
26,1092,49.7,50.3,81.9,1.9,1.2,15,0,0,0,37.4,478,72.2,27.8,58363,6.78,0,2.97,2.52,4.5,3.33,1.1,,,Glenn Acres,Sunnyside,Jefferson
27,1431,47.1,52.9,59.7,32.1,4.7,2,1.5,0,0,25,693,26.4,73.6,26250,25.4,5.25,0,4.78,0.94,13.8,14.3,,,Miller,Sunnyside,Jefferson
28,1114,39.9,60.1,62.7,15.9,12,9.4,0,0,0,37.7,480,54.4,45.6,40668,10.9,0,1.53,0.92,0,6,9.71,,,Miller,Sunnyside,Jefferson
