Household_ID,Region,Households_Type,Race,nPeople,nChildren,nOld,Males,Females,Income,PubTrans
1,19,SP,Amer Indian,2,1,0,0,2,NO,No
2,65,AL_O,White,1,0,0,0,1,NO,No
3,39,HW_O,White,2,0,2,1,1,NO,No
4,55,HW,White,3,1,0,1,2,POV,No
5,18,SP,Asian,4,3,0,2,2,POV,No
6,12,HW,Asian,5,3,0,2,3,NO,No
7,27,A,Black,1,0,0,1,0,POV,Yes
8,46,AL_O,White,1,0,0,1,0,NO,No
9,21,SP,White,2,1,0,2,0,NO,No
10,69,HW_O,Hispanic,2,0,2,1,1,POV,No
11,12,HW_O,White,2,0,2,1,1,NO,No
12,69,HW,Asian,5,3,0,4,1,POV,No
13,9,HW_O,White,2,0,2,0,2,NO,No
14,18,R,White,6,0,0,5,1,POV,No
15,67,R,White,2,0,0,1,1,NO,No
16,44,HW_O,White,2,0,2,0,2,NO,No
17,47,A,White,1,0,0,0,1,NO,No
18,70,HW,White,3,1,0,2,1,NO,No
19,55,A,White,1,0,0,0,1,NO,No
20,69,SP,White,3,2,0,2,1,NO,Yes
21,34,SP,White,2,1,0,1,1,NO,No
22,17,A,Asian,1,0,0,0,1,POV,No
23,55,HW,White,4,2,0,1,3,NO,No
24,30,HW,White,4,2,0,3,1,NO,No
25,60,HW,Hispanic,3,1,0,1,2,NO,Yes
26,66,A,Hispanic,1,0,0,0,1,NO,No
27,65,A,White,1,0,0,0,1,NO,No
28,25,SP,White,3,2,0,2,1,NO,No
29,38,HW,White,3,1,0,2,1,NO,No
30,20,A,White,1,0,0,0,1,POV,No
31,58,SP,White,2,1,0,1,1,NO,No
32,70,A,White,1,0,0,1,0,NO,No
33,13,HW,Black,5,3,0,3,2,POV,No
34,69,HW_O,Asian,2,0,2,1,1,NO,No
35,12,HW_O,White,2,0,2,0,2,NO,No
36,22,HW,White,5,3,0,3,2,NO,No
37,49,A,White,1,0,0,1,0,NO,No
38,16,HW,White,3,1,0,2,1,NO,Yes
39,14,HW_O,White,2,0,2,1,1,POV,No
40,11,R,Asian,2,0,0,2,0,NO,No
41,70,HW,White,6,4,0,3,3,NO,No
42,68,R,White,4,0,0,1,3,NO,No
43,18,A,White,1,0,0,0,1,POV,No
44,3,HW,White,4,2,0,2,2,NO,No
45,28,AL_O,White,1,0,0,1,0,NO,Yes
46,1,R,White,5,0,0,1,4,NO,No
47,39,A,White,1,0,0,0,1,POV,No
48,15,HW,White,6,4,0,2,4,NO,No
49,23,HW,Hispanic,3,1,0,1,2,NO,No
50,22,A,White,1,0,0,0,1,NO,No
51,22,SP,Hispanic,2,1,0,1,1,NO,No
52,21,R,White,4,0,0,2,2,NO,No
53,66,A,Asian,1,0,0,0,1,NO,No
54,49,HW,White,3,1,0,2,1,NO,Yes
55,53,SP,White,2,1,0,1,1,NO,No
56,6,HW_O,White,2,0,2,1,1,NO,No
57,25,HW_O,White,2,0,2,2,0,NO,No
58,58,A,White,1,0,0,0,1,NO,No
59,70,HW,White,3,1,0,2,1,NO,No
60,15,SP,White,5,4,0,2,3,NO,No
61,66,A,White,1,0,0,1,0,NO,No
62,42,HW_O,Black,2,0,2,1,1,NO,No
63,66,SP,White,3,2,0,2,1,NO,No
64,65,HW,White,4,2,0,1,3,NO,No
65,1,HW_O,White,2,0,2,1,1,NO,No
66,22,HW,White,3,1,0,1,2,NO,No
67,60,AL_O,White,1,0,0,1,0,NO,No
68,13,HW,Multirace,3,1,0,2,1,NO,No
69,19,HW,Black,4,2,0,3,1,NO,No
70,8,HW,White,3,1,0,1,2,NO,No
71,58,A,Hispanic,1,0,0,0,1,NO,No
72,35,R,White,4,0,0,1,3,NO,No
73,36,R,Hispanic,3,0,0,2,1,NO,No
74,21,HW,White,3,1,0,2,1,NO,No
75,29,SP,White,5,4,0,5,0,NO,No
76,14,HW,White,4,2,0,3,1,POV,No
77,47,AL_O,White,1,0,0,1,0,NO,No
78,37,Fam_O,White,3,0,1,2,1,POV,No
79,13,A,White,1,0,0,1,0,NO,No
80,21,A,White,1,0,0,1,0,NO,No
81,70,A,White,1,0,0,0,1,NO,No
82,52,SP,Black,2,1,0,0,2,NO,No
83,16,A,Asian,1,0,0,1,0,POV,No
84,28,Fam_O,White,3,0,1,2,1,NO,No
85,53,A,White,1,0,0,0,1,NO,No
